Artis Name,Number of tracks,Artis Name,Number of tracks,,
Iron Maiden,213,Iron Maiden,213,,
U2,135,U2,135,,
Led Zeppelin,114,Led Zeppelin,114,,Who is the artist with the highest number of Tracks
Metallica,112,Metallica,112,,
Lost,92,Lost,92,,
Deep Purple,92,Deep Purple,92,,
Pearl Jam,67,Pearl Jam,67,,
Lenny Kravitz,57,Lenny Kravitz,57,,
Various Artists,56,Various Artists,56,,
The Office,53,The Office,53,,
Van Halen,52,,,,
Faith No More,52,,,,
Os Paralamas Do Sucesso,49,,,,
Red Hot Chili Peppers,48,,,,
Eric Clapton,48,,,,
Queen,45,,,,
Foo Fighters,44,,,,
Guns N' Roses,42,,,,
The Rolling Stones,41,,,,
R.E.M.,41,,,,
Creedence Clearwater Revival,40,,,,
Audioslave,40,,,,
Titãs,38,,,,
Miles Davis,37,,,,
Chico Science & Nação Zumbi,36,,,,
Kiss,35,,,,
Smashing Pumpkins,34,,,,
Green Day,34,,,,
Chico Buarque,34,,,,
Ozzy Osbourne,32,,,,
Jamiroquai,32,,,,
Gilberto Gil,32,,,,
Legião Urbana,31,,,,
Cidade Negra,31,,,,
Antônio Carlos Jobim,31,,,,
Tim Maia,30,,,,
The Cult,30,,,,
Cássia Eller,30,,,,
Nirvana,29,,,,
Lulu Santos,28,,,,
Santana,27,,,,
The Tea Party,26,,,,
Milton Nascimento,26,,,,
Djavan,26,,,,
Frank Sinatra,24,,,,
Battlestar Galactica (Classic),24,,,,
Skank,23,,,,
Heroes,23,,,,
Amy Winehouse,23,,,,
Gene Krupa,22,,,,
Spyro Gyra,21,,,,
Caetano Veloso,21,,,,
The Who,20,,,,
James Brown,20,,,,
Battlestar Galactica,20,,,,
Zeca Pagodinho,19,,,,
The Black Crowes,19,,,,
House Of Pain,19,,,,
The Clash,18,,,,
Marvin Gaye,18,,,,
Marisa Monte,18,,,,
Black Label Society,18,,,,
AC/DC,18,,,,
Soundgarden,17,,,,
O Rappa,17,,,,
Mötley Crüe,17,,,,
Marcos Valle,17,,,,
Jimi Hendrix,17,,,,
Body Count,17,,,,
Black Sabbath,17,,,,
Planet Hemp,16,,,,
Judas Priest,16,,,,
Funk Como Le Gusta,16,,,,
